,AnimeName,ClusterType
86,Aa! Megami-sama!: Sorezore no Tsubasa Specials,1
87,Aa! Megami-sama!: Tatakau Tsubasa,1
88,Aachi wa Ssipak,3
89,Abarenbou Rikishi!! Matsutarou,0
90,Abashiri Ikka,2
91,Abenobashi Mahou☆Shoutengai,3
92,Absolute Duo,0
93,Accel World,0
94,Accel World EX,0
95,Accel World: Acchel World.,0
96,Accel World: Infinite∞Burst,0
97,Accelerando: Datenshi-tachi no Sasayaki,1
98,Acchi Kocchi,1
99,Acchi Kocchi (TV),1
100,Acchi Kocchi (TV): Place=Princess,0
101,Ace wo Nerae!,1
102,Ace wo Nerae! (1979),3
103,Ace wo Nerae! 2,1
104,Ace wo Nerae!: Final Stage,1
105,Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari,0
106,Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari 2nd,0
107,Adachi-ga Hara,0
108,Adesugata Mahou no Sannin Musume,3
109,Advancer Tina,1
110,Afro Samurai,0
111,Afro Samurai Movie,0
112,Afro Samurai Pilot,1
113,Afro Samurai: Resurrection,3
114,Afro-Ken,3
115,After War Gundam X,0
116,After... The Animation,1
117,Aftermath,3
118,Agatha Christie no Meitantei Poirot to Marple,3
119,Agitated Screams of Maggots,3
120,Agukaru,3
121,Ahiru Rikusentai,3
122,Ahiru no Pekkle no Sindbad no Bouken,3
123,Ahiru no Pekkle no Suieitaikai wa Oosawagi,3
124,Ai,3
125,Ai City,2
126,Ai Doll,1
127,Ai Mai! Moe Can Change!,1
128,Ai Monogatari: 9 Love Stories,3
129,Ai Shimai 2: Futari no Kajitsu,2
130,Ai Shimai Tsubomi... Kegashite Kudasai,1
131,Ai Shimai: Futari no Kajitsu,2
132,Ai Shoujo Pollyanna Story,3
133,Ai Tenchi Muyou!,0
134,Ai Tenchi Muyou! Recaps,1
135,Ai Tenshi Densetsu Wedding Peach,3
136,Ai Tenshi Densetsu Wedding Peach DX,3
137,Ai Tenshi Densetsu Wedding Peach Specials,0
138,Ai Yori Aoshi,1
139,Ai Yori Aoshi: Enishi,1
140,Ai Yori Aoshi: Enishi - Miyuki,1
141,Ai Yori Aoshi: Yumegatari,1
142,Ai no Gakko Cuore Monogatari,1
143,Ai no Katachi: Ecchi na Onnanoko wa Kirai... Desu ka?,0
144,Ai no Kusabi,3
145,Ai no Kusabi (2012),3
146,Ai no Wakakusa Monogatari,3
147,Ai no Wakakusa Yama Monogatari,2
148,Ai to Yuuki no Pig Girl Tonde Buurin,3
149,Ai wa KAT-TUN,0
150,Ai wa Kagi no Kazu dake... Fuuzoku Mansion,1
151,Aikatsu!,3
152,Aikatsu! Movie,3
153,Aikatsu! Music Award: Minna de Shou wo MoracchaimaShow!,0
154,Ail Maniax: Inma Seifukugari & Majogari no Yoru ni,3
155,Aimai Elegy,0
156,Ainone,3
157,Air,1
158,Air Gear,1
159,Air Gear Special,0
160,Air Gear: Kuro no Hane to Nemuri no Mori - Break on the Sky,0
161,Air Master,1
162,Air Movie,3
163,Air in Summer,1
164,Airy Me,3
165,Aisai Nikki,0
166,Aishen Qiaokeli-ing...,0
167,Aishite Knight,3
168,Aishiteruze Baby,3
169,Aisubeki Mirai e,3
170,Aiura,0
171,Ajimu: Kaigan Monogatari,1
172,Ajin,0
173,Ajin Part 1: Shoudou,0
174,Ajin Part 2: Shoutotsu,0
175,Ajin Part 3: Shougeki,0
176,Akachan to Boku,0
177,Akadou Suzunosuke,1
178,Akagami no Shirayuki-hime,0
179,Akagami no Shirayuki-hime 2nd Season,0
180,"Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page",0
181,Akage no Anne,3
182,Akahori Gedou Hour Rabuge,1
183,Akai Boushi,1
184,Akai Ito,3
185,Akai Kiba: Blue Sonnet,3
186,Akai Koudan Zillion,2
187,Akai Koudan Zillion: Utahime Yakyoku,0
188,Akakichi no Eleven,3
189,Akame ga Kill!,0
190,Akame ga Kill! Recap,0
191,Akame ga Kill! Theater,0
192,Akane Maniax,1
193,Akane-chan,1
194,Akaneiro ni Somaru Saka,1
195,Akaneiro ni Somaru Saka: Hardcore,1
196,Akaoni to Aooni no Tango,3
197,Akatsuki no Yona,0
198,Akazukin Chacha,3
199,Akazukin Chacha OVA,0
200,Akebi no Hana: Maho,0
201,Aki no Kanade,0
202,Aki-Sora,1
203,Aki-Sora: Yume no Naka,1
204,Akiba Kei Kanojo,1
205,Akiba-chan,1
206,Akihabara Dennou-gumi,2
207,Akihabara Dennou-gumi: 2011-nen no Natsuyasumi,3
208,Akikan!,1
209,Akikan!: Kan Ippatsu!? Onsen Panic,1
210,Akina to Onsen de H Shiyo!,0
211,Akira,3
212,Aku no Hana,0
213,Aku no Onna Kanbu,0
214,Aku no Onna Kanbu: Full Moon Night,0
215,Akuemon,0
216,Akuma no Riddle,0
217,Akuma no Riddle: Shousha wa Dare? Nukiuchi Test,0
218,Akuma-kun,1
219,Aldnoah.Zero,0
220,Aldnoah.Zero 2nd Season,0
221,Aldnoah.Zero Extra Archives,0
222,Alexander Senki,3
223,Alexander Senki Movie,0
224,Ali Baba to 40-hiki no Touzoku,1
225,Alice SOS,2
226,Alice in Cyberland,2
227,Alien 9,3
228,Alignment You! You! The Animation,1
229,All Alone With You,0
230,All That Gundam,0
231,Allargando The Animation,0
232,Allison to Lillia,1
233,Alps Monogatari: Watashi no Annette,3
234,Alps no Shoujo Heidi,3
235,Alps no Shoujo Heidi (1979),3
236,Amaama to Inazuma,0
237,Amada Anime Series: Super Mario Brothers,2
238,Amaenaide yo!!,1
239,Amaenaide yo!! Katsu!!,1
240,Amaenaide yo!! Katsu!!: Damasarenaide yo!!,1
241,Amaenaide yo!!: Yasumanaide yo!!,1
242,Amagami SS,1
243,Amagami SS OVA,1
244,Amagami SS+ Plus,0
245,Amagami SS+ Plus Picture Drama,0
246,Amagami SS+ Plus Specials,1
247,Amagami SS: Tachibana Miya-hen - Imouto,0
248,Amagi Brilliant Park,0
249,Amagi Brilliant Park: Nonbirishiteiru Hima ga Nai!,0
250,Amagi Brilliant Park: Wakuwaku Mini Theater - Rakugaki Backstage,0
251,Amanatsu,3
252,Amanchu!,0
253,Amanee!: Tomodachinchi de Konna Koto ni Naru Nante!,0
254,Amatsuki,3
255,Amazing Nuts!,3
256,Ame to Shoujo to Watashi no Tegami,3
257,Ame-iro Cocoa,0
258,Ame-iro Cocoa: Rainy Color e Youkoso!,0
259,Amefuri Kozou,0
260,Amnesia,3
261,Amnesia OVA,3
262,Amon Saga,1
263,Amon: Devilman Mokushiroku,3
264,Ana no Oku no Ii Tokoro,0
265,Anata dake Konbanwa,1
266,Anata no Shiranai Kangofu: Seiteki Byoutou 24 Ji,1
267,And And,3
268,Andersen Douwa: Ningyohime,3
269,Andersen Monogatari,3
270,Andersen Monogatari (TV),3
271,Andes Shounen Pepero no Bouken,0
272,Android Ana Maico 2010,2
273,Ane Jiru 2 The Animation: Shirakawa Sanshimai ni Omakase,2
274,Ane Jiru The Animation: Shirakawa Sanshimai ni Omakase,1
275,Ane Koi: Suki Kirai Daisuki.,0
276,Ane Kyun!: Joshi ga Ie ni Kita!,0
277,Ane Log: Moyako Neesan no Honpen wo Tobidashite Tomaranai Monologue,0
278,Ane Log: Moyako Neesan no Honpen wo Tobidashite Tomaranai Monologue Specials,1
279,Ane Log: Moyako Neesan no Tomaranai Monologue,0
280,Ane Yome Quartet,0
281,Ane to Boin,1
282,Aneimo,1
283,Aneki no Kounai Kaikinbi,0
284,Aneki... My Sweet Elder Sister The Animation,1
285,Anemone,3
286,Ane☆Haramix,1
287,Ange Vierge,0
288,Angel,1
289,Angel Beats!,1
290,Angel Beats! Specials,0
291,Angel Beats!: Another Epilogue,0
292,Angel Blade,2
293,Angel Blade Punish!,2
294,Angel Blade: Cut Scene,1
295,Angel Cop,0
296,Angel Core: Tenshi-tachi no Sumika,1
297,Angel Densetsu,3
298,Angel Heart,3
299,Angel's Feather,3
300,Angelique,3
301,Angelique: Seichi yori Ai wo Komete,1
302,Angelique: Shiroi Tsubasa no Memoire,3
303,Angelium,1
304,Ani*Kuri15,3
305,"Aniki no Yome-san nara, Ore ni Hamerarete Hiihii Itteru Tokoro Da yo",1
306,Anima,3
307,Animation Kikou: Marco Polo no Bouken,2
308,Animation Seisaku Shinkou Kuromi-chan,3
309,Animation Seisaku Shinkou Kuromi-chan 2,3
310,Anime 80-nichikan Sekai Isshuu,0
311,Anime Himitsu no Hanazono,0
312,Anime Koukyoushi: Jungle Taitei,3
313,Anime Oyako Gekijou,1
314,Anime Sanjuushi,0
315,Anime Sanjuushi: Aramis no Bouken,0
316,Anime TV de Hakken! Tamagotchi,1
317,Anime Tenchou,3
318,Anime Tenchou Movie,0
319,Anime Tenchou x Touhou Project,3
320,Anime de Wakaru Shinryounaika,0
321,Anison Nippon,3
322,Anitore! EX,0
323,Aniyome,2
324,Aniyome wa Ijippari,0
325,Anju to Zushioumaru,3
326,Ankoku Shinwa,2
327,Anmitsu Hime,2
328,Anne Happy,0
329,Anne no Nikki,3
330,Anne no Nikki: Anne Frank Monogatari,3
331,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,0
332,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,0
333,Ano Ko ni 1000%,3
334,Ano Ko to Ii Koto,0
335,Ano Natsu de Matteru,0
336,"Ano Natsu de Matteru: Bokutachi wa Koukou Saigo no Natsu wo Sugoshinagara, Ano Natsu de Matteiru.",0
337,Another,0
338,Another: Misaki Mei - Shizuka ni,0
339,Another: The Other - Inga,0
340,Ansatsu Kyoushitsu,0
341,Ansatsu Kyoushitsu (TV),0
342,Ansatsu Kyoushitsu (TV) 2nd Season,0
343,Ansatsu Kyoushitsu (TV) 2nd Season: Kagaijugyou-hen,1
344,Ansatsu Kyoushitsu (TV): Deai no Jikan,0
345,Ansatsu Kyoushitsu: 365-nichi no Jikan,0
346,Antinotice,3
347,Anyamal Tantei Kiruminzoo,1
348,Ao Haru Ride,0
349,Ao Haru Ride OVA,0
350,Ao no 6-gou,3
351,Ao no Exorcist,0
352,Ao no Exorcist Movie,0
353,Ao no Exorcist Movie Special,0
354,Ao no Exorcist: Kuro no Iede,0
355,Ao no Exorcist: Ura Ex,0
356,Ao no Kanata no Four Rhythm,0
357,Aoharu x Kikanjuu,0
358,Aoharu x Kikanjuu: Kemono-tachi no Senjou da na!,0
359,Aoi Blink,3
360,Aoi Bungaku Series,3
361,Aoi Chou,3
362,Aoi Hana,3
363,Aoi Sekai no Chuushin de,1
364,Aoi Umi no Tristia,1
365,Aoki Densetsu Shoot!,0
366,Aoki Densetsu Shoot! (Movie),0
367,Aoki Hagane no Arpeggio: Ars Nova,0
368,Aoki Hagane no Arpeggio: Ars Nova - Kirikumas,0
369,Aoki Hagane no Arpeggio: Ars Nova Cadenza,0
370,Aoki Hagane no Arpeggio: Ars Nova DC,0
371,Aoki Honoo,0
372,Aoki Ryuusei SPT Layzner,2
373,Aoki Ryuusei SPT Layzner OVA,3
374,Aos,2
375,Aoyama Goushou Tanpenshuu,0
376,Aozora Shoujo-tai,3
377,Apartment!,3
378,Appleseed,3
379,Appleseed (Movie),3
380,Appleseed Alpha,0
381,Appleseed Saga Ex Machina,3
382,Appleseed XIII,1
383,Appleseed XIII Remix Movie 1: Yuigon,2
384,Appleseed XIII Remix Movie 2: Yogen,2
385,Aquarian Age: Saga II - Don't Forget Me...,3
386,Aquarian Age: Sign for Evolution,3
387,Aquarion Evol,0
388,Aquarion Logos,0
389,Aquarion Movie: Ippatsu Gyakuten-hen,1
390,Ar Tonelico: Sekai no Owari de Utai Tsuzukeru Shoujo,1
391,Arabian Nights: Sindbad no Bouken,3
392,Arabian Nights: Sindbad no Bouken (TV),3
393,Arad Senki: Slap Up Party,0
394,Araiguma Rascal,1
395,Arakawa Under the Bridge,0
396,Arakawa Under the Bridge x Bridge,0
397,Arashi no Yoru ni,3
398,Arashi no Yoru ni: Himitsu no Tomodachi,3
399,Arata Kangatari,0
400,Arata naru Sekai: World's/Start/Load/End,0
401,Arbeit Shiyo!!,1
402,Arc the Lad,3
403,Arcade Gamer Fubuki,1
404,Arcade Gamer Fubuki Extra,1
405,Arcana Famiglia,0
406,Arcana Famiglia: Capriccio - stile Arcana Famiglia,3
407,Area 88,3
408,Area 88 (TV),1
409,Area 88 Movie,3
410,Area no Kishi,0
411,Arei no Kagami: Way to the Virgin Space,0
412,Arete Hime,3
413,Argento Soma,3
414,Argento Soma Special,3
415,Ari Ningen Monogatari,3
416,Ari to Kirigirisu,3
417,Ari-chan,3
418,Aria The Animation,3
419,Aria The Avvenire,0
420,Aria The Natural,3
421,Aria The Natural: Sono Futatabi Deaeru Kiseki ni...,3
422,Aria The OVA: Arietta,3
423,Aria The Origination,3
424,Aria The Origination Picture Drama,3
425,Aria The Origination: Sono Choppiri Himitsu no Basho ni...,3
426,Arigatou Thank You,1
427,Arion,3
428,Ark,3
429,Ark IX,0
430,Armageddon,2
431,Armitage III,3
432,Armitage III: Dual-Matrix,3
433,Armitage III: Poly-Matrix,3
434,Around,3
435,Arrow Emblem Grand Prix no Taka,1
436,Arslan Senki,3
437,Arslan Senki (TV),0
438,Arslan Senki (TV) OVA,0
439,Arslan Senki (TV) Specials,0
440,Arslan Senki (TV): Dakkan no Yaiba,0
441,Arslan Senki (TV): Fuujin Ranbu,0
442,Aru Hi Inu no Kuni kara Tegami ga Kite,0
443,Aru Hibi no CLAMP Gakuen Tanteidan,2
444,Aru Machi Kado no Monogatari,3
445,Aru Tabibito no Nikki,3
446,Aru Tabibito no Nikki Specials,3
447,Aru Zombie Shoujo no Sainan,0
448,Arve Rezzle: Kikaijikake no Yousei-tachi,0
449,Asa ga Kuru mae ni: Sasurai Version,3
450,Asa kara Zusshiri Milk Pot,0
451,Asa made Jugyou Chu!,1
452,Asagiri no Miko,1
453,Asako Get You!!,1
454,Asatte Dance,2
455,Asatte no Houkou.,1
456,Asgaldh: The Distortion Testament,1
457,Ashiaraiyashiki no Juunin-tachi.,1
458,Ashita Tenki ni Naare,2
459,Ashita e Attack!,3
460,Ashita e Free Kick,1
461,Ashita e Mukau Hito,3
462,Ashita no Joe,3
463,Ashita no Joe (Movie),0
464,Ashita no Joe 2,0
465,Ashita no Joe 2 (Movie),2
466,Ashita no Joe Pilots,2
467,Ashita no Nadja,3
468,Ashita no Yukinojou,2
469,Asobi ni Iku yo!,1
470,Asobi ni Iku yo!: Asobi ni Oide,1
471,Asobi ni Iku yo!: Asobi ni Oide - Owari,0
472,Asobot Senki Gokuu,2
473,Asobou! Hello Kitty,2
474,Assemble Insert,3
475,Astarotte no Omocha!,1
476,Astarotte no Omocha! EX,1
477,Astro Boy: Tetsuwan Atom,3
478,Astroganger,1
479,Asu no Yoichi!,1
480,Asura,0
481,Asura Cryin',1
482,Asura Cryin' 2,1
483,Asylum Session,1
484,Atagoal wa Neko no Mori,2
485,Atama Yama,3
486,Atarashii Sekai,3
487,Atashin'chi,1
488,Attack No.1,3
489,Attacker You!,3
490,Attraction,3
491,Auction: Bijo Dorei,2
492,Aura Battler Dunbine,2
493,Aura: Maryuuin Kouga Saigo no Tatakai,0
494,Avenger,0
495,Avengers Confidential: Black Widow to Punisher,1
496,Ayakashi,1
497,Ayakashi: Japanese Classic Horror,3
498,Ayane-chan High Kick!,1
499,Ayashi no Ceres,3
500,Ayatsuri Haramase DreamNote,2
501,Azuki-chan,3
502,Azuki-chan the Movie,1
503,Azumanga Daioh,3
504,Azumanga Daioh: Gekijou Tanpen,3
505,Azumanga Web Daioh,3
506,"Azusa, Otetsudai Shimasu!",3
507,B Gata H Kei,1
508,B Who I Want 2 B,0
509,B'T X,2
510,B'T X Neo,2
511,B-Densetsu! Battle Bedaman,0
512,B-Densetsu! Battle Bedaman Enkon,3
513,B-Project: Kodou＊Ambitious,0
514,BAR Kiraware Yasai,1
515,BaBuKa: Gokudou no Tsuma,0
516,Babel Nisei (1973),0
517,Babel Nisei (1992),3
518,Babel Nisei (2001),1
519,Baby Baachan,3
520,Baby Princess 3D Paradise 0 [Love],1
521,Baby Steps,0
522,Baby Steps 2nd Season,0
523,Baby☆Love,3
524,Baccano!,0
525,Baccano! Specials,0
526,Backkom,1
527,Bacterial Contamination,3
528,Bad Boys,2
529,Bad End,1
530,Baka Baka Baka na Sekai,2
531,Baka na Imouto wo Rikou ni Suru no wa Ore no xx dake na Ken ni Tsuite,0
532,Baka to Test to Shoukanjuu,1
533,Baka to Test to Shoukanjuu Ni!,1
534,Baka to Test to Shoukanjuu Ni!: Mahou Hideyoshi Hideyoshi,0
535,Baka to Test to Shoukanjuu Specials,1
536,Baka to Test to Shoukanjuu: Matsuri,0
537,Baka to Test to Shoukanjuu: Matsuri - Sentaku ni Yotte Tenkai ga Kawaru LIPS Eizou,0
538,Baka to Test to Shoukanjuu: Matsuri - Sentakushi Ikou nomi,0
539,Baka to Test to Shoukanjuu: Mondai - Christmas ni Tsuite Kotae Nasai,1
540,Baka to Test to Shoukanjuu: Spinout! Sore ga Bokura no Nichijou,0
541,Bakegyamon,1
542,Bakemono no Ko,0
543,Bakemonogatari,0
544,Bakemonogatari Recap,0
545,Baku Ane: Otouto Shibocchau zo! The Animation,0
546,Baku Tech! Bakugan,3
547,Bakuen Campus Guardress,3
548,Bakugan Battle Brawlers,2
549,Bakugan Battle Brawlers: Gundalian Invaders,2
550,Bakugan Battle Brawlers: Mechtanium Surge,1
551,Bakugan Battle Brawlers: New Vestroia,0
552,Bakuhatsu Sunzen!! Tenshi no Countdown,1
553,Bakukyuu Renpatsu! Super Bedaman,1
554,Bakuman.,0
555,Bakuman. 2nd Season,0
556,Bakuman. 2nd Season Special,0
557,Bakuman. 3rd Season,0
558,Bakuman. 3rd Season Specials,0
559,Bakuman.: Deraman.,0
560,Bakumatsu Gijinden Roman,1
561,Bakumatsu Kikansetsu Irohanihoheto,3
562,Bakumatsu Rock,2
563,Bakumatsu no Spasibo,1
564,Bakunyuu Bomb,1
565,Bakunyuu Maid Kari,3
566,Bakunyuu Oyako,1
567,Bakunyuu Shimai,1
568,Bakuon!!,0
569,Bakuretsu Hunters,3
570,Bakuretsu Hunters OVA,3
571,Bakuretsu Tenshi,1
572,Bakuretsu Tenshi: Infinity,1
573,Bakuretsu Tenshi: Infinity Specials,1
574,Bakusou Kyoudai Let's & Go,0
575,Bakusou Kyoudai Let's & Go MAX,0
576,Bakusou Kyoudai Let's & Go WGP,0
577,Bakuten Shoot Beyblade,2
578,Bakuten Shoot Beyblade 2002,2
579,Bakuten Shoot Beyblade G Revolution,2
580,Bakuten Shoot Beyblade the Movie: Gekitou!! Takao vs. Daichi,2
581,Bakuto Sengen Daigander,2
582,Baldr Force Exe Resolution,1
583,Balloon,3
584,Bamboo Bears,0
585,Bamboo Blade,1
586,Bamboo Blade: CM Fanfu-Fufe-Fo,2
587,Bamboo Blade: Fanfu-Fufe-Fo,2
588,Bananya,0
589,Bannou Bunka Neko-Musume,3
590,Bannou Bunka Neko-Musume (1998),3
591,Bannou Bunka Neko-Musume DASH!,3
592,Bannou Bunka Neko-Musume Specials,2
593,Bannou Yasai Ninninman,3
594,Baoh Raihousha,2
595,Barakamon,0
596,Barakamon: Mijikamon,0
597,Barbapapa,3
598,Bari Bari Densetsu,1
599,Bari Bari Densetsu (1987),0
600,Bartender,3
601,Basilisk: Kouga Ninpou Chou,3
602,Basquash!,1
603,Bastard!!: Ankoku no Hakaishin,3
604,Batman: Gotham Knight,3
605,Baton,3
606,Battery,0
607,Battle Athletess Daiundoukai,3
608,Battle Athletess Daiundoukai (TV),3
609,Battle Break,3
610,Battle Programmer Shirase,1
611,Battle Royal High School,3
612,Battle Spirits: Brave,2
613,Battle Spirits: Burning Soul,0
614,Battle Spirits: Ryuuko no Ken,2
615,Battle Spirits: Shounen Gekiha Dan,1
616,Bavel no Hon,3
617,Bayonetta: Bloody Fate,0
618,Be-Bop Highschool,2
619,Be-Boy Kidnapp'n Idol,3
620,Beast Wars Neo,2
621,Beast Wars Second Chou Seimeitai Transformers,2
622,Beast Wars Second: LioConvoy in Imminent Danger!,3
623,Beautiful World,0
624,Beck,3
625,Beelzebub,0
626,Beelzebub Specials,0
627,Beelzebub: Hirotta Akachan wa Daimaou!?,0
628,Beet the Vandel Buster,1
629,Beet the Vandel Buster Excellion,1
630,Behind a Smile,1
631,Believe,3
632,Ben-To,0
633,Ben-To Picture Drama,0
634,Berserk,0
635,Berserk (2016),0
636,Berserk: Ougon Jidai-hen I - Haou no Tamago,0
637,Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,0
638,Berserk: Ougon Jidai-hen III - Kourin,0
639,Betsu ni Anta no Tame ni Ookiku Nattan Janain Dakara ne!!,1
640,Betterman,3
641,Bi-Indoushi Miija: Injoku no Gakuen,2
642,Bi-chiku Beach: Nangoku Nyuujoku Satsueikai,0
643,Bible Black,3
644,Bible Black Gaiden,3
645,Bible Black Only Version,3
646,Bible Black: Imari Ryoujoku Genba,1
647,Bible Black: New Testament,2
648,Bible Black: New Testament Recap,2
649,Big Order,0
650,Big Order (TV),0
651,Big Wars: Kami Utsu Akaki Kouya ni,0
652,Bihada Ichizoku,3
653,Bijukubo,2
654,Bikini Warriors,0
655,Bikini Warriors Special,0
656,Bikyaku Seido Kaichou Ai,1
657,Binan Koukou Chikyuu Bouei-bu LOVE!,0
658,Binan Koukou Chikyuu Bouei-bu LOVE! LOVE!,0
659,Binbou Shimai Monogatari,1
660,Binbougami ga!,0
661,Binchou-tan,1
662,Binetsu Shoukougun,1
663,Binetsukko ♭37℃ The Animation,0
664,Binkan Athlete,0
665,Binzume Yousei,3
666,Bio Hunter,3
667,Biohazard 4: Incubate,2
668,Biohazard 4D-Executer,3
669,Biohazard: Damnation,0
670,Biohazard: Degeneration,3
671,Birth,3
672,Birthday Boy,3
673,Bishoujo Comic Lolicon Angel: Mitsu no Aji,0
674,Bishoujo Mobage: Mobami-chan,3
675,Bishoujo Senshi Sailor Moon,3
676,Bishoujo Senshi Sailor Moon Crystal,0
677,Bishoujo Senshi Sailor Moon Crystal Season III,0
678,Bishoujo Senshi Sailor Moon Memorial,3
679,Bishoujo Senshi Sailor Moon R,3
680,Bishoujo Senshi Sailor Moon R: Make Up! Sailor Senshi,3
681,Bishoujo Senshi Sailor Moon R: The Movie,3
682,Bishoujo Senshi Sailor Moon S,3
683,Bishoujo Senshi Sailor Moon S: Kaguya Hime no Koibito,3
684,Bishoujo Senshi Sailor Moon SuperS,3
685,Bishoujo Senshi Sailor Moon SuperS Gaiden: Ami-chan no Hatsukoi,3
686,Bishoujo Senshi Sailor Moon SuperS Special,3
687,Bishoujo Senshi Sailor Moon SuperS: Sailor 9 Senshi Shuuketsu! Black Dream Hole no Kiseki,3
688,Bishoujo Senshi Sailor Moon: Sailor Stars,3
689,Bishoujo Senshi Sailor Moon: Sailor Stars - Hero Club,1
690,Bishoujo Yuugekitai Battle Skipper,2
691,Bishoujo Yuugi Unit Crane Game Girls,0
692,Black Blood Brothers,3
693,Black Bullet,0
694,Black Bullet: Tenchuu＊Girls,0
695,Black Cat,3
696,Black Cat Special,1
697,Black Gate: Kanin no Gakuen,1
698,Black Jack,3
699,Black Jack (TV),0
700,Black Jack (TV): Hizouban Specials,1
701,Black Jack 21,1
702,Black Jack Specials: Inochi wo Meguru Yottsu no Kiseki,3
703,Black Jack the Movie,3
704,Black Jack: Dr. Pinoko no Mori no Bouken,1
705,Black Jack: Futari no Kuroi Isha,1
706,Black Jack: Heian Sento,0
707,Black Jack: Karte NG Extras,0
708,Black Jack: Sora kara Kita Kodomo,3
709,Black Lagoon,0
710,Black Lagoon Omake,0
711,Black Lagoon: Roberta's Blood Trail,0
712,Black Lagoon: The Second Barrage,0
713,Black Magic M-66,3
714,Black Ocean,3
715,Black Rock Shooter,0
716,Black Rock Shooter (OVA),0
717,Black Rock Shooter (TV),0
718,Blade,0
719,Blade & Soul,0
720,Blade & Soul Specials,0
721,Blade of the Immortal,3
722,Blame!,3
723,Blame! Prologue,3
724,Blame! Special,3
725,Blassreiter,1
726,Blassreiter: Navi,3
727,BlazBlue: Alter Memory,0
728,Bleach,0
729,Bleach Movie 1: Memories of Nobody,2
730,Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru,2
731,Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu,0
732,Bleach Movie 4: Jigoku-hen,0
733,Bleach: Memories in the Rain,2
734,Bleach: The Sealed Sword Frenzy,2
735,Blood Lad,0
736,Blood Lad: Wagahai wa Neko de wa Nai,0
737,Blood Royale,1
738,Blood+,3
739,Blood-C,0
740,Blood-C: None-None Gekijou,2
741,Blood-C: Special Edition,0
742,Blood-C: The Last Dark,0
743,Blood: The Last Vampire,3
